"WORKGROUP"               c0001000 "PI-STAR-YSF"                 "WORKGROUP"
"PI-STAR"                 40819a03 "Samba 4.9.5-Debian"          "WORKGROUP"
"PI-STAR-YSF"             40849a03 "Samba 4.9.5-Debian"          "WORKGROUP"
